id,title,subtitle,publication date,genres,naver rating,imdb rating,vote_count,critic_rating,director,actor,review
25018,텍사스 전기톱 학살 3,Leatherface: Texas Chainsaw Massacre III,1990,호러 스릴러,6.04,5.1,75,,제프버,케이트호지 켄포리 비고모텐슨,
10646,톰캣,Tomcats,2001,코미디 로맨스,6.6,4.9,75,,그레고리포이리어,섀넌엘리자베스 제리오코넬 제이크부시,
14114,유 갓 서브드,You Got Served,2004,드라마,7.88,4.8,75,,크리스스토크스,오마리온 마커스휴스톤,
14324,처녀의 성,Virgin Territory,2007,어드벤쳐 액션 코미디 로맨스,5.98,4.3,75,,데이빗르랜드,헤이든크리스텐슨 미샤바튼,
10350,윙 커맨더,Wing Commander,1999,액션 SF,4.21,4,75,,크리스로버츠,프레디프린즈주니어 세프론버로우스 매튜릴라드 체키카료,
9438,미스터 마구,Mr. Magoo,1997,코미디 가족,8.8,3.9,75,,당계례,레슬리닐슨,
22345,위트와 슬라이,Baby Geniuses,1999,SF 코미디 가족,7.45,3.3,75,,밥클락,캐서린터너 크리스토퍼로이드,
14073,조다 악바르,Jodhaa Akbar,2008,액션 어드벤쳐 드라마 역사 로맨스,8.67,7.6,74,,아슈토쉬고와리커,리틱로샨 아이쉬와라라이,
29193,스페인 죄수,The Spanish Prisoner,1997,범죄 드라마 미스터리 스릴러,8,7.1,74,,데이비드마멧,캠벨스코트 레베카피죤,
10348,성룡의 썬더볼트,Thunderbolt,1995,액션 스릴러,8.28,6.3,74,,진가상,성룡,
441,휴먼 네이쳐,Human Nature,2001,드라마 코미디,8.1,6.1,74,2.5,미셸공드리,팀로빈스 패트리샤아퀘트,
27526,크로싱 가드,The Crossing Guard,1995,드라마 스릴러,6,6.1,74,,숀펜,잭니콜슨,
14576,쉐이드,Shade,2003,액션 스릴러 범죄,7.75,6.1,74,,데미안니먼,실베스터스탤론 멜라니그리피스,
10491,에니그마,Enigma,2001,미스터리 드라마 스릴러 로맨스 전쟁,6.54,6,74,,마이클앱티드,더그레이스콧 케이트윈슬렛,
10424,제니퍼 연쇄 살인 사건,Jennifer Eight,1992,범죄 드라마 미스터리,6.85,5.8,74,,브루스로빈슨,앤디가르시아 랜스헨릭슨 우마서먼 그레이엄백켈,
12890,스마트 피플,Smart People,2008,코미디 드라마 로맨스,7.93,5.8,74,,노암머로,데니스퀘이드 사라제시카파커 엘리엇페이지 토마스헤이든처치,
16229,프로작 네이션,Prozac Nation,2001,드라마,6.86,5.7,74,,에릭스코졸드재르그,크리스티나리치 제이슨빅스,
11662,캐산,Casshern,2004,드라마 호러 SF,5.17,5.7,74,,키리야카즈아키,이세야유스케 아소구미코,
10988,디아볼릭,Diabolique,1996,드라마 호러 미스터리 스릴러,6.41,5.4,74,,제레미아S.체칙,샤론스톤 이자벨아자니 채즈팰민테리 캐시베이츠,
399173,톰보이리벤저,The Assignment,2016,액션 범죄 스릴러,6.46,4.9,74,,월터힐,미셸로드리게즈 시고니위버,
9456,크로우 - 구원의 손길,The Crow: Salvation,2000,액션 SF 스릴러,5.43,4.9,74,,바랫낼러리,커스틴던스트 에릭마비우스,
9666,주온 - 극장판 2,Ju-on: The Grudge 2,2003,호러 스릴러,6.59,6.5,73,,시미즈다카시,사카이노리코 니이야마치하루,
11671,엘레지,Elegy,2008,드라마 로맨스,7.71,6.4,73,3.5,이자벨코이젯트,벤킹슬리 페넬로페크루즈, 욕망을 관조하는 시간.
10990,머홀랜드 폴스,Mulholland Falls,1996,드라마 미스터리 스릴러,7.77,6.2,73,,리타마호리,닉놀테,
4997,원더랜드,Wonderland,2003,범죄 드라마 미스터리 스릴러,5.75,6.2,73,,제임스콕스,발킬머 케이트보스워스 리사쿠드로 조쉬루카스 팀블레이크넬슨 딜란맥더모트,
9813,콰이어트,The Quiet,2005,드라마 스릴러,6.72,6.1,73,,제이미배빗,카밀라벨 엘리샤커스버트,
13019,영 피플 퍼킹,Young People Fucking,2007,코미디 드라마 로맨스,4.6,5.9,73,,마틴게로,아론에이브람스 다이오라베어드,
